id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
128727,Double room in family house,622729,Geraldo & Shalluan,,Praça Seca,-22.895765,-43.353809,Private room,200,1,4,2017-03-26,0.03,2,94,0,
130234,excellent studio apartment,641519,Osvaldo,,Copacabana,-22.97575,-43.18877,Entire home/apt,180,3,4,2019-02-16,0.08,1,0,0,
273363,Lindo quarto sossegado para temporada,556738,Casa Da Carmen E,,Santa Teresa,-22.91825,-43.17872,Private room,55,15,4,2017-12-04,0.04,5,256,0,
273463,2 bedroom apart with view to the lagoon and garage,319672,Valeria,,Lagoa,-22.97542,-43.19857,Entire home/apt,320,2,528,2022-09-15,4.08,5,140,57,
49726202,Charming Ocean Front Villa - São Conrado,132338263,Katerina,,Vidigal,-22.99944,-43.24982,Entire home/apt,3500,3,1,2022-06-06,0.28,1,169,1,
273496,Luxury Accommodation in Hip Leblon,4022675,Thea & Gui,,Leblon,-22.98161,-43.22189,Entire home/apt,409,3,54,2022-09-06,0.41,1,234,2,
273753,Beautiful room for students,556738,Casa Da Carmen E,,Santa Teresa,-22.91709,-43.18068,Private room,57,30,3,2022-08-22,0.03,5,249,1,
132114,beauty beedrom in Laranjeiras.,649320,Stella E Antonio,,Laranjeiras,-22.93707,-43.19071,Private room,105,1,8,2022-04-30,0.07,1,357,3,
29227195,Familia lopes,160859919,Tatiana,,Vigário Geral,-22.79226,-43.31661,Private room,60,1,30,2022-09-16,0.65,1,332,13,
132832,VISTA PRAIA COPA - Excelente Quarto,652627,Ana,,Copacabana,-22.98282,-43.18935,Private room,149,2,4,2019-01-04,0.05,4,20,0,
132909,QUARTO PRIVATIVO,652889,Fernando Patricio,,Maracanã,-22.91547,-43.22638,Private room,300,1,1,2016-02-02,0.01,1,364,0,
